locus_tag,gene,product,start,end,strand
SPN23F_RS00225,,beta-class carbonic anhydrase,35047,35544,+
SPN23F_RS00230,,PrsW family glutamic-type intramembrane protease,35569,36352,+
SPN23F_RS00240,,ribose-phosphate diphosphokinase,36497,37465,+
SPN23F_RS13675,,Rpn family recombination-promoting nuclease/putative transposase,37583,38510,+
SPN23F_RS00260,polA,DNA polymerase I,39119,41752,+
SPN23F_RS00265,,CoA-binding protein,41837,42274,+
SPN23F_RS13680,,hypothetical protein,42315,42530,+
SPN23F_RS00275,,YeiH family protein,42549,43559,-
SPN23F_RS00280,,pyridoxal phosphate-dependent aminotransferase,43708,44877,+
SPN23F_RS00285,recO,DNA repair protein RecO,44874,45644,+
SPN23F_RS00290,plsX,phosphate acyltransferase PlsX,45641,46633,+
SPN23F_RS00295,,acyl carrier protein,46639,46872,+
SPN23F_RS11730,,transposase family protein,46909,47209,+
SPN23F_RS00300,blpU,bacteriocin-like peptide BlpU,47411,47641,+
SPN23F_RS14050,,PncF family bacteriocin immunity protein,47644,47769,+
SPN23F_RS00315,comA,peptide cleavage/export ABC transporter ComA,48356,50509,+
SPN23F_RS00320,comB,competence pheromone export protein ComB,50522,51871,+
SPN23F_RS00325,purC,phosphoribosylaminoimidazolesuccinocarboxamide synthase,52041,52748,+
SPN23F_RS00330,,phosphoribosylformylglycinamidine synthase,52805,56530,+
SPN23F_RS00335,purF,amidophosphoribosyltransferase,56623,58065,+
SPN23F_RS00340,purM,phosphoribosylformylglycinamidine cyclo-ligase,58102,59124,+
SPN23F_RS00345,purN,phosphoribosylglycinamide formyltransferase,59121,59666,+
SPN23F_RS00350,,VanZ family protein,59750,60259,+
SPN23F_RS00355,purH,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,60284,61831,+
SPN23F_RS00360,purD,phosphoribosylamine--glycine ligase,61953,63215,+
SPN23F_RS13685,,hypothetical protein,63472,63588,+
SPN23F_RS00365,purE,5-(carboxyamino)imidazole ribonucleotide mutase,63618,64106,+
SPN23F_RS00370,purK,5-(carboxyamino)imidazole ribonucleotide synthase,64093,65166,+
SPN23F_RS00375,,AAA family ATPase,65189,67576,+
SPN23F_RS00380,purB,adenylosuccinate lyase,67749,69047,+
SPN23F_RS00385,strH,LPXTG-anchored beta-N-acetylhexosaminidase StrH,69102,73040,-
SPN23F_RS00390,,GntR family transcriptional regulator,73355,74071,-
SPN23F_RS00395,,glycoside hydrolase family 35 protein,74419,76206,+
SPN23F_RS00400,,PTS sugar transporter subunit IIB,76203,76679,+
SPN23F_RS00405,,PTS mannose/fructose/sorbose/N-acetylgalactosamine transporter subunit IIC,76707,77612,+
SPN23F_RS00410,,PTS system mannose/fructose/sorbose family transporter subunit IID,77599,78414,+
SPN23F_RS00415,,PTS sugar transporter subunit IIA,78421,78825,+
SPN23F_RS00420,,SIS domain-containing protein,79078,80244,+
SPN23F_RS00425,,aldose epimerase family protein,80360,81397,+
SPN23F_RS00430,,VOC family protein,81605,82459,+
SPN23F_RS00435,,metal-sensitive transcriptional regulator,82596,82853,+
SPN23F_RS13355,,hypothetical protein,82895,83257,-
SPN23F_RS00445,,rhodanese-like domain-containing protein,83311,83607,-
SPN23F_RS11750,,rhodanese-like domain-containing protein,83597,83779,-
SPN23F_RS00450,,nucleoside phosphorylase,83828,84592,+
SPN23F_RS13180,,hypothetical protein,84832,84984,-
SPN23F_RS00460,,TrkH family potassium uptake protein,85202,86581,+
SPN23F_RS00465,,potassium channel family protein,86595,87260,+
SPN23F_RS13690,,hypothetical protein,87395,87553,+
SPN23F_RS00475,,glycosyltransferase family 2 protein,87615,88154,+
SPN23F_RS00480,,hypothetical protein,88221,88631,+
SPN23F_RS00485,pavB,fibronectin-binding SSURE repeat adhesin PavB,88644,90242,+
SPN23F_RS00490,,response regulator transcription factor,90409,91107,+
SPN23F_RS00495,,HAMP domain-containing sensor histidine kinase,91104,92156,+
SPN23F_RS00500,rpsD,30S ribosomal protein S4,92351,92962,+
SPN23F_RS11760,,IS630 transposase-related protein,93147,93302,+
SPN23F_RS12785,,IS630 family transposase,93406,93543,-
SPN23F_RS00510,,hypothetical protein,93623,93883,+
SPN23F_RS00515,,hypothetical protein,93837,94058,+
SPN23F_RS00520,,ABC transporter permease,94377,95306,+
SPN23F_RS00525,,carbohydrate ABC transporter permease,95320,96243,+
SPN23F_RS00530,,ABC transporter substrate-binding protein,96453,97928,+
SPN23F_RS00535,trhO,oxygen-dependent tRNA uridine(34) hydroxylase TrhO,98200,99186,+
SPN23F_RS14055,,hypothetical protein,99246,99371,+
SPN23F_RS00540,,DUF4299 family protein,99460,100320,+
SPN23F_RS00545,,DUF6574 domain-containing protein,100392,101456,-
SPN23F_RS00550,,DUF4097 domain-containing protein,101518,102429,-
SPN23F_RS00555,,DUF1700 domain-containing protein,102422,103015,-
SPN23F_RS00560,,PadR family transcriptional regulator,103002,103328,-
SPN23F_RS00565,,CynX/NimT family MFS transporter,103467,104632,-
SPN23F_RS00570,,glycosyltransferase family 2 protein,104690,105847,+
SPN23F_RS00575,,polysaccharide biosynthesis protein,105889,107739,+
SPN23F_RS00580,,ISL3-like element IS1167A family transposase,107779,109035,-
SPN23F_RS13190,,hypothetical protein,109248,109460,-
SPN23F_RS00590,,HAD family hydrolase,109510,110142,-
SPN23F_RS00595,sdaAA,L-serine ammonia-lyase%2C iron-sulfur-dependent%2C subunit alpha,110164,111036,-
SPN23F_RS00600,sdaAB,L-serine ammonia-lyase%2C iron-sulfur-dependent subunit beta,111045,111716,-
SPN23F_RS00605,apf,aggregation-promoting factor,111958,112545,+
SPN23F_RS00610,,hypothetical protein,112598,112918,-
SPN23F_RS00615,,lactococcin 972 family bacteriocin,113349,113636,+
SPN23F_RS00620,,bacteriocin-associated integral membrane family protein,113688,115796,+
SPN23F_RS00625,,ABC transporter ATP-binding protein,115793,116434,+
SPN23F_RS00630,,ABC transporter substrate-binding protein,116641,117447,+
SPN23F_RS00635,,argininosuccinate synthase domain-containing protein,117464,117856,+
SPN23F_RS00640,,hypothetical protein,118173,118493,-
SPN23F_RS00650,,ISL3-like element IS1167A family transposase,119110,120366,-
SPN23F_RS13360,,SPH 0227 family bacteriocin-like peptide,120680,120868,+
SPN23F_RS00665,,hypothetical protein,121031,121759,+
SPN23F_RS13695,,hypothetical protein,122238,122437,+
SPN23F_RS00670,,hypothetical protein,122894,123133,+
SPN23F_RS00675,,hypothetical protein,123118,123396,+
SPN23F_RS13700,,ATPase,123682,124221,+
SPN23F_RS14150,,cell surface protein,124848,125858,+
SPN23F_RS00685,mnmA,tRNA 2-thiouridine(34) synthase MnmA,126259,127380,+
SPN23F_RS00690,,NUDIX hydrolase,127521,127976,+
SPN23F_RS00695,mnmG,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,127986,129899,+
SPN23F_RS13710,,hypothetical protein,130103,130261,+
SPN23F_RS00705,rnjA,ribonuclease J1,130278,131957,-
SPN23F_RS00710,,DNA-dependent RNA polymerase subunit epsilon,131959,132192,-
SPN23F_RS13715,,hypothetical protein,132472,132687,+
SPN23F_RS00715,cibB,fratricide two-peptide bacteriocin subunit CibB,133010,133162,-
SPN23F_RS00720,cibA,fratricide two-peptide bacteriocin subunit CibA,133164,133349,-
SPN23F_RS00725,tsaB,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB,133527,134210,+
SPN23F_RS00730,rimI,ribosomal protein S18-alanine N-acetyltransferase,134207,134644,+
SPN23F_RS00735,tsaD,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD,134634,135644,+
SPN23F_RS00745,,ISL3 family transposase,135684,136990,-
SPN23F_RS13720,,transposase,137326,138017,-
SPN23F_RS13725,,glycosyltransferase family 4 protein,138260,138814,+
SPN23F_RS13730,,glycosyltransferase family 4 protein,138942,139466,+
SPN23F_RS00770,,glycosyltransferase family 2 protein,139459,140412,+
SPN23F_RS00775,,ATP-binding cassette domain-containing protein,140422,142038,+
SPN23F_RS14240,,hypothetical protein,142058,142276,+
SPN23F_RS00785,,hypothetical protein,142387,142815,+
SPN23F_RS00790,,PIG-L family deacetylase,142827,143576,+
SPN23F_RS00795,,nucleotide sugar dehydrogenase,143589,144761,+
SPN23F_RS00800,,XRE/MutR family transcriptional regulator,145157,146020,+
SPN23F_RS00805,,peptide pheromone VP1,146306,146506,+
SPN23F_RS00810,,CPBP family intramembrane glutamic endopeptidase,146573,147238,+
SPN23F_RS00815,,MFS transporter,147310,148536,+
SPN23F_RS00825,,AzlC family ABC transporter permease,148989,149645,+
SPN23F_RS13735,,AzlD domain-containing protein,149635,149958,+
SPN23F_RS00835,,amino acid ABC transporter substrate-binding protein,150062,150892,+
SPN23F_RS00840,,MetQ/NlpA family ABC transporter substrate-binding protein,151046,151900,+
SPN23F_RS00845,,M20 family metallopeptidase,152000,153373,+
SPN23F_RS00850,,methionine ABC transporter ATP-binding protein,153366,154427,+
SPN23F_RS00855,,methionine ABC transporter permease,154429,155121,+
SPN23F_RS00860,,MptD family putative ECF transporter S component,155151,155720,-
SPN23F_RS00865,,YesL family protein,155855,156469,+
SPN23F_RS00870,,sensor histidine kinase,156447,158117,+
SPN23F_RS00875,,response regulator transcription factor,158129,159415,+
SPN23F_RS00880,,ABC transporter permease,159476,160009,+
SPN23F_RS00885,nrdI,class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI,160087,160557,+
SPN23F_RS00890,,NRAMP family divalent metal transporter,160850,162112,-
SPN23F_RS00895,,DUF3021 domain-containing protein,162422,162880,-
SPN23F_RS00900,,LytTR family DNA-binding domain-containing protein,162877,163317,-
SPN23F_RS14060,,hypothetical protein,163405,163530,-
SPN23F_RS00905,mutL,DNA mismatch repair endonuclease MutL,163673,165622,+
SPN23F_RS00910,ribH,6%2C7-dimethyl-8-ribityllumazine synthase,165947,166414,-
SPN23F_RS00915,,bifunctional 3%2C4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II,166415,167620,-
SPN23F_RS00920,ribE,riboflavin synthase,167640,168275,-
SPN23F_RS00925,ribD,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD,168260,169360,-
SPN23F_RS00930,ruvA,Holliday junction branch migration protein RuvA,169765,170358,+
SPN23F_RS00935,,DNA-3-methyladenine glycosylase I,170368,170931,+
SPN23F_RS00940,,CPBP family intramembrane glutamic endopeptidase,170928,171605,+
SPN23F_RS00945,,S66 family peptidase,171742,172773,-
SPN23F_RS00950,,DUF1129 domain-containing protein,173028,173711,-
SPN23F_RS00955,,magnesium transporter CorA family protein,173723,174667,-
SPN23F_RS00960,uvrA,excinuclease ABC subunit UvrA,174799,177630,+
SPN23F_RS00965,,M24 family metallopeptidase,177623,178684,+
SPN23F_RS00970,spx,transcriptional regulator Spx,178816,179214,+
SPN23F_RS00975,,SP0191 family lipoprotein,179280,179849,+
SPN23F_RS00980,,IreB family regulatory phosphoprotein,179936,180202,+
SPN23F_RS00985,ruvX,Holliday junction resolvase RuvX,180206,180625,+
SPN23F_RS00990,,DUF1292 domain-containing protein,180641,180946,+
SPN23F_RS00995,,folylpolyglutamate synthase/dihydrofolate synthase family protein,181204,182454,+
SPN23F_RS01000,,SP 0198 family lipoprotein,182538,182993,+
SPN23F_RS01005,cls,cardiolipin synthase,183139,184671,+
SPN23F_RS13460,,hypothetical protein,184749,184892,+
SPN23F_RS01015,,hypothetical protein,184929,186467,+
SPN23F_RS01020,nrdD,anaerobic ribonucleoside-triphosphate reductase,186587,188794,+
SPN23F_RS13465,,hypothetical protein,188806,188946,+
SPN23F_RS01030,,GNAT family N-acetyltransferase,188990,189496,+
SPN23F_RS01035,nrdG,anaerobic ribonucleoside-triphosphate reductase activating protein,189489,190079,+
SPN23F_RS01040,,uridine kinase family protein,190076,190693,+
SPN23F_RS01045,rpsJ,30S ribosomal protein S10,190960,191268,+
SPN23F_RS01050,rplC,50S ribosomal protein L3,191484,192110,+
SPN23F_RS01055,rplD,50S ribosomal protein L4,192135,192758,+
SPN23F_RS01060,,50S ribosomal protein L23,192758,193054,+
SPN23F_RS01065,rplB,50S ribosomal protein L2,193072,193905,+
SPN23F_RS01070,rpsS,30S ribosomal protein S19,194009,194290,+
SPN23F_RS01075,rplV,50S ribosomal protein L22,194302,194646,+
SPN23F_RS01080,rpsC,30S ribosomal protein S3,194659,195312,+
SPN23F_RS01085,rplP,50S ribosomal protein L16,195316,195729,+
SPN23F_RS01090,rpmC,50S ribosomal protein L29,195739,195945,+
SPN23F_RS01095,rpsQ,30S ribosomal protein S17,195970,196230,+
SPN23F_RS01100,rplN,50S ribosomal protein L14,196256,196624,+
SPN23F_RS01105,rplX,50S ribosomal protein L24,196702,197007,+
SPN23F_RS01110,rplE,50S ribosomal protein L5,197031,197573,+
SPN23F_RS01115,rpsN,30S ribosomal protein S14,197591,197860,+
SPN23F_RS01120,rpsH,30S ribosomal protein S8,198145,198543,+
SPN23F_RS01125,rplF,50S ribosomal protein L6,198735,199271,+
SPN23F_RS01130,rplR,50S ribosomal protein L18,199355,199711,+
SPN23F_RS01135,rpsE,30S ribosomal protein S5,199729,200223,+
SPN23F_RS01140,rpmD,50S ribosomal protein L30,200237,200419,+
SPN23F_RS01145,rplO,50S ribosomal protein L15,200564,201004,+
SPN23F_RS01150,secY,preprotein translocase subunit SecY,201017,202327,+
SPN23F_RS01155,,adenylate kinase,202478,203116,+
SPN23F_RS01160,infA,translation initiation factor IF-1,203233,203451,+
SPN23F_RS01165,rpmJ,50S ribosomal protein L36,203476,203592,+
SPN23F_RS01170,rpsM,30S ribosomal protein S13,203610,203975,+
SPN23F_RS01175,rpsK,30S ribosomal protein S11,203993,204376,+
SPN23F_RS01180,,DNA-directed RNA polymerase subunit alpha,204419,205354,+
SPN23F_RS01185,rplQ,50S ribosomal protein L17,205366,205752,+
SPN23F_RS01190,,ACT domain-containing protein,206017,206283,+
SPN23F_RS01195,,PFL family protein,206293,207630,+
SPN23F_RS01200,,histidine phosphatase family protein,207874,208566,+
SPN23F_RS13205,,ABC transporter permease,208669,210304,-
SPN23F_RS01215,,ABC transporter ATP-binding protein,210294,211385,-
SPN23F_RS11835,,extracellular solute-binding protein,211398,212519,-
SPN23F_RS01230,,helix-turn-helix domain-containing protein,212736,212960,-
SPN23F_RS01235,,glycyl-radical enzyme activating protein,213008,213784,-
SPN23F_RS01240,,DeoR/GlpR family DNA-binding transcription regulator,213906,214652,+
SPN23F_RS01245,,sugar-binding transcriptional regulator,214665,215645,+
SPN23F_RS01250,,PTS lactose/cellobiose transporter subunit IIA,215840,216160,+
SPN23F_RS01255,,PTS sugar transporter subunit IIB,216206,216514,+
SPN23F_RS01260,,PTS sugar transporter subunit IIC,216531,217829,+
SPN23F_RS01265,,glycyl radical protein,217980,220418,+
SPN23F_RS01270,,fructose-6-phosphate aldolase,220437,221105,+
SPN23F_RS01275,,glycerol dehydrogenase,221123,222211,+
SPN23F_RS01280,leuS,leucine--tRNA ligase,222666,225167,+
SPN23F_RS01285,,GNAT family N-acetyltransferase,225361,226056,+
SPN23F_RS01290,,GNAT family N-acetyltransferase,226068,226484,+
SPN23F_RS01295,,type I toxin-antitoxin system Fst family toxin,227299,227391,-
SPN23F_RS01300,ruvB,Holliday junction branch migration DNA helicase RuvB,227525,228523,+
SPN23F_RS01305,,nucleotidyltransferase family protein,228504,229076,+
SPN23F_RS01310,,isoprenyl transferase,229307,230065,+
SPN23F_RS01315,,phosphatidate cytidylyltransferase,230074,230877,+
SPN23F_RS01320,rseP,RIP metalloprotease RseP,230899,232158,+
SPN23F_RS01325,,proline--tRNA ligase,232171,234024,+
SPN23F_RS01330,bglA,6-phospho-beta-glucosidase,234124,235503,+
SPN23F_RS01335,glmS,glutamine--fructose-6-phosphate transaminase (isomerizing),235695,237503,+
SPN23F_RS01340,,LLM class flavin-dependent oxidoreductase,237622,238671,+
SPN23F_RS01345,spuA,LPXTG-anchored pullulanase SpuA,238771,242568,-
SPN23F_RS01350,rpsL,30S ribosomal protein S12,242985,243398,+
SPN23F_RS01355,rpsG,30S ribosomal protein S7,243418,243888,+
SPN23F_RS01360,fusA,elongation factor G,244283,246364,+
SPN23F_RS01365,,PolC-type DNA polymerase III,246468,250859,+
SPN23F_RS01370,,ISL3 family transposase,250902,252158,-
SPN23F_RS01375,,type II toxin-antitoxin system RelB/DinJ family antitoxin,252385,252648,+
SPN23F_RS01380,,type II toxin-antitoxin system RelE/ParE family toxin,252641,252918,+
SPN23F_RS13470,,hypothetical protein,252939,253091,+
SPN23F_RS01390,,aminopeptidase,253113,254354,+
SPN23F_RS01395,,GlsB/YeaQ/YmgE family stress response membrane protein,254364,254594,+
SPN23F_RS13740,,hypothetical protein,254615,254773,+
SPN23F_RS01400,,pseudouridine synthase,254863,255585,+
SPN23F_RS01410,pepC,aminopeptidase C,255802,257136,+
SPN23F_RS01415,,PTS system mannose/fructose/sorbose family transporter subunit IID,257192,258103,-
SPN23F_RS01420,,PTS mannose/fructose/sorbose transporter subunit IIC,258127,258930,-
SPN23F_RS01425,,PTS sugar transporter subunit IIB,258958,259947,-
SPN23F_RS01430,adhP,alcohol dehydrogenase AdhP,260180,261199,-
SPN23F_RS01435,,Cof-type HAD-IIB family hydrolase,261538,262350,-
SPN23F_RS01440,,NCS2 family permease,262540,263958,+
SPN23F_RS01445,,CPBP family intramembrane glutamic endopeptidase,264011,264718,+
SPN23F_RS01450,folP,dihydropteroate synthase,264808,265785,+
SPN23F_RS01455,,bifunctional folylpolyglutamate synthase/dihydrofolate synthase,265787,267109,+
SPN23F_RS01460,folE,GTP cyclohydrolase I FolE,267090,267644,+
SPN23F_RS01465,folK,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,267803,268615,+
SPN23F_RS01470,,DUF960 domain-containing protein,268660,268977,-
SPN23F_RS01475,rplM,50S ribosomal protein L13,269334,269780,+
SPN23F_RS01480,rpsI,30S ribosomal protein S9,269799,270191,+
SPN23F_RS01485,,tyrosine-type recombinase/integrase,270452,270874,-
SPN23F_RS13475,,hypothetical protein,271021,271197,+
SPN23F_RS01495,,glycoside hydrolase family 31 protein,271598,273811,+
SPN23F_RS01500,,glutathione peroxidase,274033,274509,-
SPN23F_RS01505,,LPXTG-anchored hyaluronate lyase,274732,277935,+
SPN23F_RS01510,tnpA,IS200/IS605 family transposase,278315,278691,+
SPN23F_RS01515,,bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase,279079,279708,-
SPN23F_RS01520,,sugar kinase,279718,280719,-
SPN23F_RS01525,,RpiB/LacA/LacB family sugar-phosphate isomerase,280750,281391,-
SPN23F_RS01530,,gluconate 5-dehydrogenase,281410,282225,-
SPN23F_RS01535,,PTS sugar transporter subunit IIA,282497,282931,+
SPN23F_RS01540,,glycoside hydrolase family 88 protein,282943,284133,+
SPN23F_RS01545,,PTS sugar transporter subunit IIB,284144,284635,+
SPN23F_RS01550,,PTS mannose/fructose/sorbose/N-acetylgalactosamine transporter subunit IIC,284650,285429,+
SPN23F_RS01555,,PTS system mannose/fructose/sorbose family transporter subunit IID,285416,286234,+
SPN23F_RS01560,,preprotein translocase subunit YajC,286234,286527,+
SPN23F_RS01565,,alginate lyase family protein,286549,288450,+
SPN23F_RS01570,,LacI family DNA-binding transcriptional regulator,288510,289511,+
SPN23F_RS01575,,hypothetical protein,289621,289956,-
SPN23F_RS01580,,hypothetical protein,289967,290209,-
SPN23F_RS01585,,helix-turn-helix transcriptional regulator,290225,290419,-
SPN23F_RS01590,rsmH,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,290585,291535,+
SPN23F_RS01595,ftsL,cell division protein FtsL,291547,291864,+
SPN23F_RS01600,pbp2x,penicillin-binding protein PBP2X,291868,294120,+
SPN23F_RS01605,mraY,phospho-N-acetylmuramoyl-pentapeptide-transferase,294122,295102,+
SPN23F_RS01610,,ATP-dependent Clp protease ATP-binding subunit,295711,297816,+
SPN23F_RS01615,,group II intron maturase-specific domain-containing protein,298267,298602,+
SPN23F_RS01620,,S-ribosylhomocysteine lyase,298669,299151,-
SPN23F_RS01625,,DUF1846 domain-containing protein,299246,300730,-
SPN23F_RS01630,,glycoside hydrolase family 13 protein,300883,302490,+
SPN23F_RS01635,,S-ribosylhomocysteinase,302649,302822,+
SPN23F_RS11870,,transposase,302815,303336,-
SPN23F_RS01645,cps4A,capsular polysaccharide--peptidoglycan transferase Cps4A,303559,305004,+
SPN23F_RS01650,cps4B,capsular polysaccharide biosynthesis protein Cps4B,305006,305737,+
SPN23F_RS01655,,capsular polysaccharide biosynthesis protein,305746,306438,+
SPN23F_RS01660,,tyrosine-protein kinase,306448,307137,+
SPN23F_RS01665,,sugar transferase,307152,308519,+
SPN23F_RS01670,cps2T,beta 1-4 rhamnosyltransferase Cps2T,308550,309728,+
SPN23F_RS01675,wzy,oligosaccharide repeat unit polymerase Wzy,310028,311221,+
SPN23F_RS01680,,glycosyltransferase family 2 protein,311225,312196,+
SPN23F_RS01685,,glycosyltransferase 61 family protein,312203,313435,+
SPN23F_RS01690,,oligosaccharide flippase family protein,313437,314822,+
SPN23F_RS01695,,CDP-glycerol--glycerophosphate glycerophosphotransferase,314830,315978,+
SPN23F_RS01700,,iron-containing alcohol dehydrogenase family protein,316014,317042,+
SPN23F_RS01705,,phosphocholine cytidylyltransferase family protein,317058,317762,+
SPN23F_RS01710,,HAD-IIA family hydrolase,317777,318610,+
SPN23F_RS01715,rfbA,glucose-1-phosphate thymidylyltransferase RfbA,318770,319639,+
SPN23F_RS01720,,dTDP-4-dehydrorhamnose 3%2C5-epimerase family protein,319640,320233,+
SPN23F_RS01725,rfbB,dTDP-glucose 4%2C6-dehydratase,320246,321295,+
SPN23F_RS01730,rfbD,dTDP-4-dehydrorhamnose reductase,321361,322212,+
SPN23F_RS13750,,IS66 family transposase,322309,323353,+
SPN23F_RS01745,,peptide ABC transporter substrate-binding protein,323780,325762,+
SPN23F_RS01750,,SpGH101 family endo-alpha-N-acetylgalactosaminidase,326063,331366,+
SPN23F_RS01755,pbp1a,penicillin-binding protein PBP1A,331533,333692,-
SPN23F_RS01760,recU,Holliday junction resolvase RecU,333689,334285,-
SPN23F_RS01765,,SLOG family protein,334352,334879,+
SPN23F_RS01770,gpsB,cell division regulator GpsB,334949,335290,+
SPN23F_RS01780,,THUMP domain-containing class I SAM-dependent RNA methyltransferase,335776,336933,+
SPN23F_RS01785,mapZ,cell division site-positioning protein MapZ,336946,338340,+
SPN23F_RS01790,gndA,NADP-dependent phosphogluconate dehydrogenase,338416,339840,+
SPN23F_RS01795,,response regulator transcription factor,339852,340541,+
SPN23F_RS01800,cbpJ,choline-binding protein CbpJ,340640,341638,+
SPN23F_RS01805,,MFS transporter,341756,342988,-
SPN23F_RS12810,,lanthionine synthetase LanC family protein,343147,343617,-
SPN23F_RS12815,,lanthionine synthetase LanC family protein,343517,343875,-
SPN23F_RS14065,,transposase,344538,344867,+
SPN23F_RS01820,mvk,mevalonate kinase,344989,345867,+
SPN23F_RS01825,mvaD,diphosphomevalonate decarboxylase,345849,346802,+
SPN23F_RS01830,,phosphomevalonate kinase,346789,347796,+
SPN23F_RS01835,fni,type 2 isopentenyl-diphosphate Delta-isomerase,347780,348790,+
SPN23F_RS01840,liaF,cell wall-active antibiotics response protein LiaF,348867,349565,+
SPN23F_RS01845,,envelope stress sensor histidine kinase LiaS,349562,350557,+
SPN23F_RS01850,,response regulator transcription factor,350571,351203,+
SPN23F_RS13765,,DNA alkylation repair protein,351279,351973,+
SPN23F_RS01870,,hypothetical protein,352123,352362,+
SPN23F_RS01875,cbpG,choline-binding protein CbpG,352443,353264,+
SPN23F_RS01880,cbpF,choline-binding protein CbpF,353283,354305,+
SPN23F_RS11910,,IS3 family transposase,354433,355781,-
SPN23F_RS01900,,PTS mannitol-specific transporter subunit IIBC,355990,357759,+
SPN23F_RS01905,,BglG family transcription antiterminator,357783,359738,+
SPN23F_RS01910,,PTS sugar transporter subunit IIA,359740,360177,+
SPN23F_RS01915,,mannitol-1-phosphate 5-dehydrogenase,360239,361375,+
SPN23F_RS01930,tig,trigger factor,362174,363457,+
SPN23F_RS01935,recD2,SF1B family DNA helicase RecD2,363505,365871,-
SPN23F_RS13220,,hypothetical protein,365948,366070,-
SPN23F_RS01940,lepB,signal peptidase I,366150,366764,-
SPN23F_RS01945,rnhC,ribonuclease HIII,366776,367648,-
SPN23F_RS01950,zapA,cell division protein ZapA,367735,368037,+
SPN23F_RS01955,,CvpA family protein,368034,368582,+
SPN23F_RS01960,,endonuclease MutS2,368686,371022,+
SPN23F_RS01965,,alanine/glycine:cation symporter family protein,371365,372687,+
SPN23F_RS01970,,carboxymuconolactone decarboxylase family protein,372905,373453,+
SPN23F_RS01975,,TDT family transporter,373563,374462,+
SPN23F_RS01980,serS,serine--tRNA ligase,374487,375761,-
SPN23F_RS01985,,DUF956 family protein,375975,376346,-
SPN23F_RS01990,,aspartate kinase,376349,377713,-
SPN23F_RS01995,,enoyl-CoA hydratase,378038,378823,+
SPN23F_RS02000,fabT,fatty acid biosynthesis transcriptional regulator FabT,378917,379351,+
SPN23F_RS02005,,beta-ketoacyl-ACP synthase III,379351,380325,+
